bathrooms,bedrooms,car_spaces,floor_area_m2,land_size_m2,price_php
3,3,1,123.8,140.0,5493461.0
2,2,0,38.0,36.0,1918427.0
1,1,0,46.6,67.0,1700404.0
3,4,1,167.0,154.0,7841100.0
3,5,0,166.0,143.0,10151000.0
1,2,0,46.0,41.0,1800000.0
1,2,0,36.0,44.0,2134000.0
5,4,0,254.0,337.0,16000000.0
3,4,2,119.0,150.0,6500000.0
3,5,1,100.0,121.0,7707000.0
1,3,1,40.0,40.0,1880600.0
2,4,2,80.0,120.0,3775000.0
1,1,0,79.2,152.0,2725680.0
2,3,2,55.0,80.0,3700000.0
1,1,0,25.0,58.0,1366658.0
3,3,2,90.0,100.0,5978000.0
1,1,0,80.0,323.0,5765000.0
2,3,0,66.0,88.0,5210000.0
1,2,0,46.0,66.0,3012000.0
1,2,0,40.0,63.0,2973000.0
3,3,1,74.26,80.0,5700000.0
2,3,0,112.6,120.0,5941000.0
3,4,2,110.0,100.0,6756360.0
2,2,1,71.0,120.0,3124880.0
2,3,2,90.0,60.0,4800000.0
2,2,1,53.0,70.0,4200000.0
1,1,0,34.0,52.0,1013431.0
3,5,1,100.0,121.0,6592000.0
2,3,2,90.0,80.0,5300000.0
2,3,1,55.0,80.0,3000000.0
1,3,0,63.51,88.0,4460000.0
2,3,1,66.0,131.0,5898000.0
2,1,1,49.0,50.0,2100000.0
1,1,0,34.0,64.0,1221933.0
2,2,1,53.0,50.0,4200000.0
1,2,0,36.0,40.0,2496205.0
1,2,0,40.0,54.0,2636000.0
2,1,1,75.0,90.0,3000000.0
2,3,1,72.0,100.0,5690000.0
5,4,0,254.0,337.0,14000000.0
2,3,1,60.0,50.0,2395000.0
1,3,1,79.13,60.0,2406200.0
4,4,2,171.5,176.0,8557360.0
3,4,1,149.19,176.0,7032800.0
4,4,2,174.66,176.0,8381730.0
2,3,1,65.0,60.0,2945000.0
3,4,1,136.25,176.0,7413780.0
3,5,1,142.0,121.0,7751000.0
3,5,2,166.0,142.0,8982000.0
4,4,2,206.0,231.0,8795130.0
2,3,1,72.0,88.0,3800000.0
2,2,1,59.0,88.0,3100000.0
3,4,1,83.0,99.0,5969000.0
1,1,0,34.0,28.0,795073.0
2,3,1,67.0,150.0,5036925.0
1,2,1,46.0,120.0,4300000.0
3,3,0,323.8,90.0,42717000.0
2,3,2,112.36,80.0,5182963.0
2,4,0,116.64,176.0,7860000.0
3,5,2,142.0,142.0,9045570.0
3,5,2,166.0,210.0,12167725.0
3,5,0,100.0,110.0,7226000.0
1,2,0,46.0,60.0,3333825.0
3,4,1,83.0,99.0,6400000.0
2,3,1,78.0,70.0,6500000.0
4,4,1,107.78,120.0,5548360.0
2,3,1,81.0,110.0,4700000.0
1,1,0,289.0,245.0,5151000.0
3,5,1,140.0,121.0,7909100.0
3,4,1,160.0,154.0,6841640.0
3,4,2,100.0,120.0,7410000.0
2,3,0,112.5,72.5,4336908.0
3,5,0,166.0,156.0,9753000.0
3,5,1,107.0,141.0,5200000.0
3,4,1,147.23,176.0,7860710.0
2,3,1,109.5,120.0,5039190.0
2,3,1,65.0,60.0,2698000.0
3,5,0,179.02,176.0,9268000.0
1,1,0,97.0,110.0,3447600.0
3,5,2,150.0,150.0,7900000.0
3,5,2,166.0,166.0,12254710.0
1,3,1,62.5,50.0,2624075.0
2,2,1,96.2,100.0,4353328.0
1,2,0,43.0,47.25,1840805.0
2,4,1,70.0,60.0,3336800.0
1,2,0,88.1,74.0,2581630.0
1,1,0,34.0,31.0,894144.0
3,3,1,119.1,104.0,5421509.0
2,3,2,100.0,200.0,11300000.0
3,3,1,121.4,98.0,4300000.0
1,2,0,42.0,63.0,3109000.0
1,3,1,50.0,50.0,2389000.0
4,4,0,155.06,66.0,8473000.0
1,2,1,50.0,60.0,1995000.0
2,3,1,117.24,120.0,6085537.0
2,3,1,84.0,120.0,6650000.0
3,4,0,136.25,176.0,8466000.0
2,3,1,75.0,112.0,5234791.0
4,3,0,174.66,176.0,9434000.0
2,3,0,122.0,294.0,9311032.0
3,4,0,147.23,176.0,8913000.0
2,3,0,124.0,388.0,12000000.0
3,4,1,91.0,110.0,4400000.0
2,3,0,66.0,88.0,5110000.0
2,3,0,66.0,94.0,5057000.0
1,2,0,40.0,88.0,4324000.0
3,5,0,97.0,130.0,7735000.0
1,3,1,62.5,50.0,2643963.0
1,2,0,40.0,54.0,2813000.0
1,2,0,36.0,40.0,2424000.0
2,3,1,80.0,92.0,5282600.0
1,3,1,78.73,63.0,2820800.0
3,3,0,250.0,92.0,29826000.0
2,4,1,115.08,176.0,6396780.0
3,4,1,178.7,176.0,9540880.0
1,2,1,42.0,60.0,1638000.0
1,1,0,34.0,41.0,913350.0
1,3,0,93.91,88.0,4956000.0
3,4,0,178.7,176.0,10592480.0
2,3,0,60.0,110.0,4442000.0
1,2,0,46.0,60.0,3079000.0
3,4,0,85.0,99.0,6380000.0
2,3,1,66.0,99.0,5788000.0
3,5,1,100.0,194.0,8385000.0
3,4,0,83.0,110.0,5870000.0
2,4,1,124.22,143.0,6574890.0
4,4,2,176.62,168.0,8982815.0
2,3,1,66.0,88.0,5078000.0
2,3,1,66.0,99.0,6088000.0
3,5,0,142.0,156.0,8967000.0
1,2,0,40.0,60.0,3217730.0
2,3,2,119.0,98.0,8800000.0
1,2,1,53.0,52.0,2900000.0
3,5,1,179.02,176.0,8215625.0
2,4,1,115.08,132.0,6344860.0
1,3,1,60.0,80.0,2925600.0
1,1,1,41.0,60.0,1562440.0
2,3,1,55.0,50.0,3000000.0
2,3,1,80.93,60.0,2459200.0
2,3,0,124.0,221.0,10000000.0
3,5,1,100.0,121.0,6975000.0
1,2,0,36.0,42.0,2313000.0
3,5,1,100.0,110.0,7185000.0
1,2,0,36.0,60.0,3079935.0
1,2,0,40.0,108.0,4160000.0
3,4,0,83.0,99.0,6481315.0
1,2,0,50.0,65.0,3930585.0
1,2,0,40.0,88.0,3935100.0
3,3,1,123.42,150.0,6303625.0
2,1,1,49.0,86.0,2500000.0
2,1,1,99.0,60.0,8300000.0
2,4,1,80.0,103.0,4600000.0
2,1,1,102.0,60.0,5200000.0
3,5,1,140.0,121.0,8654000.0
2,3,2,103.0,143.0,6000000.0
3,3,0,250.0,92.0,28251000.0
1,1,0,34.0,39.0,973608.0
2,2,0,46.0,51.0,2464168.0
2,3,2,55.0,80.0,3200000.0
4,3,0,138.0,337.0,10000000.0
2,4,0,80.0,110.0,5770000.0
2,3,0,72.0,110.0,4767000.0
1,3,0,60.0,90.0,2902810.0
2,3,1,66.0,99.0,5573800.0
1,2,0,36.0,36.0,2094000.0
2,3,1,53.0,180.0,9918340.0
1,2,0,36.0,36.0,2198000.0
3,5,0,100.0,110.0,6814000.0
3,5,2,166.0,143.0,9594100.0
3,4,1,85.0,110.0,6970000.0
3,5,1,142.0,140.0,9168000.0
3,5,0,100.0,110.0,7324830.0
2,3,0,66.0,99.0,5952320.0
2,3,1,72.0,92.0,4200000.0
2,4,1,96.0,153.0,5700000.0
2,2,1,40.0,45.0,2089739.0
3,3,0,323.8,90.0,42997000.0
3,3,1,129.0,221.0,9222110.0
4,3,0,138.0,388.0,12000000.0
2,3,1,82.3,98.0,4730620.0
2,3,0,122.0,388.0,10399874.0
2,4,0,83.0,110.0,5400000.0
2,4,1,83.0,140.0,6298845.0
2,3,1,75.0,80.0,5234791.0
3,5,0,166.0,251.0,11553000.0
3,5,1,100.0,110.0,7062300.0
3,5,1,142.0,143.0,8407000.0
2,3,2,93.0,108.0,4700000.0
2,1,1,66.0,79.0,2800000.0
2,2,1,74.0,88.0,3800000.0
2,2,1,111.0,100.0,4851616.0
2,3,1,65.0,90.97,3430000.0
3,3,0,237.85,124.0,29283000.0
3,4,1,103.0,168.0,9614253.0
2,3,1,73.0,140.0,5692980.0
2,2,1,48.26,50.0,3280000.0
2,3,0,64.0,51.0,2984737.0
3,4,2,150.0,200.0,14100000.0
2,2,0,46.0,110.0,2918180.0
1,2,1,52.0,80.0,1817900.0
1,3,1,78.73,63.0,3177163.0
3,4,0,85.0,99.0,6489000.0
1,2,0,50.0,79.0,3966000.0
2,4,1,144.87,154.0,8215525.0
1,2,0,40.0,40.0,2338000.0
2,1,1,66.0,79.0,3600000.0
3,3,0,323.8,105.0,42577000.0
3,3,1,129.0,388.0,10953047.0
3,4,2,206.0,388.0,12864917.0
1,2,0,36.0,42.0,2153000.0
1,2,0,40.0,66.0,2883000.0
2,4,1,96.84,98.0,5379890.0
2,2,0,53.0,88.0,4516000.0
2,2,0,53.0,88.0,5013000.0
3,3,0,250.0,93.0,29854000.0
1,2,0,40.0,63.0,3243000.0
1,2,0,46.0,88.0,4122000.0
2,2,0,44.0,46.0,3488645.0
3,4,0,85.0,110.0,6930000.0
2,2,0,53.0,88.0,4592000.0
3,4,2,173.1,168.0,9440500.0
2,3,1,78.0,160.0,6265385.0
2,2,0,53.0,88.0,4382000.0
1,2,0,36.0,66.0,2673000.0
3,4,0,85.0,99.0,6388300.0
2,3,0,66.0,88.0,5390000.0
2,2,0,53.0,88.0,4597300.0
2,2,0,53.0,99.0,5132000.0
2,3,0,66.0,88.0,5607000.0
1,2,0,46.0,63.0,3365000.0
1,2,0,50.0,63.0,3440000.0
1,2,0,36.0,59.0,2582000.0
1,2,0,66.0,88.0,4328000.0
2,2,0,53.0,88.0,5052530.0
2,3,1,66.0,88.0,5592000.0
4,4,2,171.42,213.0,8300000.0
1,2,0,46.0,63.0,3071000.0
3,3,0,250.0,92.0,29017000.0
3,3,0,323.8,92.0,43053000.0
3,3,0,323.8,105.0,42857000.0
3,3,0,323.8,91.0,43025000.0
3,3,0,323.8,106.0,42605000.0
