,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
0,"Natalie 3BR Single Detached House for Sale in West Beverly Hills, Dasmariñas, Cavite",3.0,3.0,1.0,123.8,140.0,West Beverly Hills,,,,5493461
1,"Townhouse with 2 Bedrooms for Sale at Hana South in Trece Martires, Cavite | Lyca Model",2.0,2.0,,38.0,36.0,Hana South,Lyca model,,,1918427
2,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B1 L23 (ROSE-INNER)",1.0,1.0,,46.6,67.0,Marytown Place,Blk1 Lot23 (ROSE-INNER),2019.0,,1700404
3,"2-Storey 4BR House and Lot (Amanda Model) for Sale in Governor's Hills, General Trias, Cavite",3.0,4.0,1.0,167.0,154.0,Governor's Hills,Amanda,,,7841100
4,"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Greta, NRFO",3.0,5.0,,166.0,143.0,Camella Provence,Greta,2005.0,,10151000
5,"2BR 2-Storey Townhouse for Sale at Primeworld Enclave in Brgy. Caingin, San Rafael, Bulacan",1.0,2.0,,46.0,41.0,Primeworld Enclave,,2021.0,,1800000
6,"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle IU, NRFO",1.0,2.0,,36.0,44.0,Camella Taal,"Arielle IU, NRFO",2014.0,,2134000
7,"2-Storey House for Sale in Ameria, Panabo, Davao del Norte - Acacia Model",5.0,4.0,,254.0,337.0,Ameria,,,,16000000
8,"4BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",3.0,4.0,2.0,119.0,150.0,The Villages at Lipa,,,,6500000
9,"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Ella wCB, NRFO",3.0,5.0,1.0,100.0,121.0,Camella Provence,Ella wCB,2005.0,,7707000
10,"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ALICE Model",1.0,3.0,1.0,40.0,40.0,Lancaster New City,,,,1880600
11,"Gardenia 4BR Single Detached House for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",2.0,4.0,2.0,80.0,120.0,Primavera Homes Phase 2,Gardenia 4BR Single Detached,2017.0,,3775000
12,"L-R-1-912- Acquired Property for Sale in Lots 24 & 25, Block 4, Catleya St., corner Stargazer St., Betzaida Village, Brgy. Dumantay, Batangas City, Batangas",,,,79.2,152.0,,,,,2725680
13,"2-Storey 3-Bedroom Twinhome (Duplex) for Sale in Estanzia Enclave, Tanza, Cavite",2.0,3.0,2.0,55.0,80.0,Estanzia Enclave,twinhome,2021.0,,3700000
14,"1BR Quadruplex House and Lot (Legato Model) for Sale in Gran Avila, Calamba, Laguna",1.0,1.0,,25.0,58.0,Gran Avila,Legato,,,1366658
15,"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHESSA Model",3.0,3.0,2.0,90.0,100.0,Lancaster New City,,,,5978000
16,"L-R-1-763- Acquired Property for Sale in Lot 49, Block 8, Jardin Street, Camella Provence Subdivision, Phase 2B, Brgy. Looc-1, Malolos City, Bulacan - Retail",,,,80.0,323.0,,,,,5765000
17,"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRFO",2.0,3.0,,66.0,88.0,Camella Taal,"Cara, NRFO",2014.0,,5210000
18,"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle, NRFO",1.0,2.0,,46.0,66.0,Camella Taal,"Ezabelle, NRFO",2014.0,,3012000
19,"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Criselle, NRFO",1.0,2.0,,40.0,63.0,Camella Monticello,"Criselle, NRFO",2018.0,,2973000
20,"3-Bedroom House and Lot for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Salva Model",3.0,3.0,1.0,74.26,80.0,PHINMA Maayo San Jose,Salva,2023.0,,5700000
21,"3BR House and Lot (Fiorenza Standard) for Sale in Suntrust Verona, Silang, Cavite",2.0,3.0,,112.6,120.0,Verona,Fiorenza Standard,,,5941000
22,"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -BRIANA Model",3.0,4.0,2.0,110.0,100.0,Lancaster New City,,,,6756360
23,"Aeon Duplex Bungalow SD for Sale in Sentosa, Calamba Laguna",2.0,2.0,1.0,71.0,120.0,Sentosa,Aeon Duplex Bungalow SD,,,3124880
24,"3BR Townhome Inner Unit for Sale - Penthouse at Jubilation Enclave North, New Biñan, Laguna",2.0,3.0,2.0,90.0,60.0,Penthouse at Jubilation Enclave North,inner unit,2021.0,,4800000
